,不良(101-199)(站日),縣市,時間
415,0,金門縣,
416,0,連江縣,
417,0,澎湖縣,
418,0,臺北市,2011年 8月
419,1,新北市,
420,0,桃園市,
421,0,基隆市,
422,0,新竹縣,
423,0,新竹市,
424,0,苗栗縣,
425,0,臺中市,
426,0,彰化縣,
427,0,南投縣,
428,0,雲林縣,
429,0,嘉義縣,
430,0,嘉義市,
431,0,臺南市,
432,6,高雄市,
433,0,屏東縣,
434,0,宜蘭縣,
435,0,花蓮縣,
436,0,臺東縣,
437,0,金門縣,
438,0,連江縣,
439,0,澎湖縣,
440,0,臺北市,2011年 9月
441,3,新北市,
442,0,桃園市,
443,0,基隆市,
444,0,新竹縣,
445,0,新竹市,
446,0,苗栗縣,
447,1,臺中市,
448,0,彰化縣,
449,1,南投縣,
450,0,雲林縣,
451,2,嘉義縣,
452,0,嘉義市,
453,0,臺南市,
454,6,高雄市,
455,2,屏東縣,
456,0,宜蘭縣,
457,0,花蓮縣,
458,1,臺東縣,
459,0,金門縣,
460,0,連江縣,
461,0,澎湖縣,
462,1,臺北市,2011年 10月
463,4,新北市,
464,0,桃園市,
465,0,基隆市,
466,0,新竹縣,
467,0,新竹市,
468,0,苗栗縣,
469,3,臺中市,
470,0,彰化縣,
471,0,南投縣,
472,2,雲林縣,
473,0,嘉義縣,
474,0,嘉義市,
475,0,臺南市,
476,6,高雄市,
477,1,屏東縣,
478,0,宜蘭縣,
479,0,花蓮縣,
480,0,臺東縣,
481,0,金門縣,
482,0,連江縣,
483,0,澎湖縣,
484,0,臺北市,2011年 11月
485,0,新北市,
486,0,桃園市,
487,0,基隆市,
488,0,新竹縣,
489,0,新竹市,
490,0,苗栗縣,
491,2,臺中市,
492,0,彰化縣,
493,1,南投縣,
494,2,雲林縣,
495,0,嘉義縣,
496,0,嘉義市,
497,4,臺南市,
498,27,高雄市,
499,9,屏東縣,
500,0,宜蘭縣,
501,0,花蓮縣,
502,0,臺東縣,
503,0,金門縣,
504,0,連江縣,
505,0,澎湖縣,
506,0,臺北市,2011年 12月
507,0,新北市,
508,0,桃園市,
509,0,基隆市,
510,0,新竹縣,
511,0,新竹市,
512,0,苗栗縣,
513,0,臺中市,
514,0,彰化縣,
515,0,南投縣,
516,1,雲林縣,
517,6,嘉義縣,
518,0,嘉義市,
519,2,臺南市,
520,14,高雄市,
521,5,屏東縣,
522,0,宜蘭縣,
523,0,花蓮縣,
524,0,臺東縣,
525,0,金門縣,
526,0,連江縣,
527,0,澎湖縣,
528,16,臺北市,2012年 1月
529,36,新北市,
530,2,桃園市,
531,0,基隆市,
532,1,新竹縣,
533,1,新竹市,
534,0,苗栗縣,
535,13,臺中市,
536,5,彰化縣,
537,12,南投縣,
538,8,雲林縣,
539,12,嘉義縣,
540,8,嘉義市,
541,17,臺南市,
542,106,高雄市,
543,47,屏東縣,
544,0,宜蘭縣,
545,0,花蓮縣,
546,1,臺東縣,
547,0,金門縣,
548,0,連江縣,
549,0,澎湖縣,
550,0,臺北市,2012年 2月
551,0,新北市,
552,0,桃園市,
553,0,基隆市,
554,0,新竹縣,
555,0,新竹市,
556,0,苗栗縣,
557,0,臺中市,
558,0,彰化縣,
559,0,南投縣,
560,0,雲林縣,
561,0,嘉義縣,
562,0,嘉義市,
563,0,臺南市,
564,0,高雄市,
565,3,屏東縣,
566,0,宜蘭縣,
567,0,花蓮縣,
568,0,臺東縣,
569,0,金門縣,
570,0,連江縣,
571,0,澎湖縣,
572,0,臺北市,2012年 3月
573,0,新北市,
574,0,桃園市,
575,0,基隆市,
576,0,新竹縣,
577,0,新竹市,
578,0,苗栗縣,
579,0,臺中市,
580,0,彰化縣,
581,2,南投縣,
582,1,雲林縣,
583,1,嘉義縣,
584,3,嘉義市,
585,9,臺南市,
586,15,高雄市,
587,5,屏東縣,
588,0,宜蘭縣,
589,0,花蓮縣,
590,0,臺東縣,
591,0,金門縣,
592,0,連江縣,
593,0,澎湖縣,
594,0,臺北市,2012年 4月
595,5,新北市,
596,0,桃園市,
597,0,基隆市,
598,0,新竹縣,
599,0,新竹市,
600,0,苗栗縣,
601,0,臺中市,
602,0,彰化縣,
603,2,南投縣,
604,0,雲林縣,
605,1,嘉義縣,
606,1,嘉義市,
607,0,臺南市,
608,17,高雄市,
609,8,屏東縣,
610,0,宜蘭縣,
611,0,花蓮縣,
612,0,臺東縣,
613,0,金門縣,
614,0,連江縣,
615,0,澎湖縣,
616,0,臺北市,2012年 5月
617,5,新北市,
618,0,桃園市,
619,0,基隆市,
620,0,新竹縣,
621,1,新竹市,
622,0,苗栗縣,
623,4,臺中市,
624,2,彰化縣,
625,4,南投縣,
626,4,雲林縣,
627,4,嘉義縣,
628,4,嘉義市,
629,3,臺南市,
630,15,高雄市,
631,3,屏東縣,
632,0,宜蘭縣,
633,0,花蓮縣,
634,0,臺東縣,
635,0,金門縣,
636,0,連江縣,
637,0,澎湖縣,
638,5,臺北市,2012年 6月
639,11,新北市,
640,0,桃園市,
641,0,基隆市,
642,0,新竹縣,
643,0,新竹市,
644,0,苗栗縣,
645,2,臺中市,
646,0,彰化縣,
647,0,南投縣,
648,2,雲林縣,
649,0,嘉義縣,
650,0,嘉義市,
651,0,臺南市,
652,4,高雄市,
653,2,屏東縣,
654,0,宜蘭縣,
655,0,花蓮縣,
656,0,臺東縣,
657,0,金門縣,
658,0,連江縣,
659,0,澎湖縣,
660,0,臺北市,2012年 7月
661,2,新北市,
662,0,桃園市,
663,0,基隆市,
664,0,新竹縣,
665,0,新竹市,
666,0,苗栗縣,
667,0,臺中市,
668,0,彰化縣,
669,0,南投縣,
670,0,雲林縣,
671,0,嘉義縣,
672,0,嘉義市,
673,0,臺南市,
674,0,高雄市,
675,1,屏東縣,
676,0,宜蘭縣,
677,0,花蓮縣,
678,0,臺東縣,
679,0,金門縣,
680,0,連江縣,
681,0,澎湖縣,
682,0,臺北市,2012年 8月
683,0,新北市,
684,0,桃園市,
685,0,基隆市,
